seconds_from_start,x,y,z,finished
36.25,526.11474609375,10.024832725524902,652.6997680664062,0
36.312,523.7012939453125,10.025102615356445,651.4760131835938,0
36.375,520.8199462890625,10.023258209228516,650.072265625,0
36.437,518.2975463867188,10.020739555358887,648.8790893554688,0
36.5,515.7266235351562,10.017553329467773,647.69775390625,0
36.562,513.1109008789062,10.01549243927002,646.5223388671875,0
36.625,510.00640869140625,10.016459465026855,645.150146484375,0
36.687,507.30218505859375,10.018277168273926,643.9673461914062,0
36.75,504.55908203125,10.019946098327637,642.7753295898438,0
36.812,501.31048583984375,10.020551681518555,641.3694458007812,0
36.875,498.9587097167969,10.020000457763672,640.3538208007812,0
36.937,495.6231689453125,10.018548011779785,638.9150390625,0
37.0,492.7248229980469,10.0175199508667,637.6658935546875,0
37.062,489.78680419921875,10.017242431640625,636.4110107421875,0
37.125,486.29296875,10.018379211425781,634.9832153320312,0
37.187,483.2252502441406,10.021505355834961,633.836669921875,0
37.25,480.0762939453125,10.027905464172363,632.8118286132812,0
37.312,476.8448486328125,10.040203094482422,631.9420166015625,0
37.375,472.99530029296875,10.046562194824219,631.1281127929688,0
37.437,469.6402282714844,10.041792869567871,630.5882568359375,0
37.5,466.24249267578125,10.032129287719727,630.1876220703125,0
37.562,462.2330322265625,10.021587371826172,629.9043579101562,0
37.625,459.3441467285156,10.019547462463379,629.8511352539062,0
37.687,455.2777099609375,10.026139259338379,630.01318359375,0
37.75,451.78631591796875,10.037165641784668,630.385498046875,0
37.812,448.3055114746094,10.04715347290039,630.9813232421875,0
37.875,444.85003662109375,10.05146598815918,631.8040161132812,0
37.937,440.8712158203125,10.049444198608398,633.0513916015625,0
38.0,437.5148010253906,10.042155265808105,634.3477783203125,0
38.062,434.2109069824219,10.032666206359863,635.830322265625,0
38.125,430.9648132324219,10.025609970092773,637.4859008789062,0
38.187,427.2895202636719,10.022771835327148,639.6151733398438,0
38.25,424.3162841796875,10.025856971740723,641.586181640625,0
38.312,421.520263671875,10.037579536437988,643.6862182617188,0
38.375,418.4967346191406,10.050049781799316,646.2911376953125,0
38.437,416.1171569824219,10.053877830505371,648.6455078125,0
38.5,413.9401550292969,10.050193786621094,651.099853515625,0
38.562,411.9722900390625,10.04416561126709,653.6416015625,0
38.625,409.9488830566406,10.036367416381836,656.70166015625,0
38.687,408.6873779296875,10.033406257629395,658.9378662109375,0
38.75,407.1822509765625,10.033895492553711,662.120849609375,0
38.812,406.1356506347656,10.037535667419434,664.88037109375,0
38.875,405.19769287109375,10.04263973236084,668.1134643554688,0
